1.53E-06	4.72E-01	4.79E-01	4.81E-01	4.43E-01	3.97E-01	3.70E-01	3.45E-01	3.20E-01	2.90E-01	2.56E-01	2.30E-01	2.04E-01	1.79E-01
2.10E-06	6.10E-01	5.82E-01	5.31E-01	4.67E-01	4.23E-01	3.91E-01	3.60E-01	3.25E-01	2.94E-01	2.62E-01	2.30E-01	2.00E-01	1.74E-01
2.60E-06	7.33E-01	6.45E-01	5.63E-01	4.88E-01	4.44E-01	4.09E-01	3.75E-01	3.36E-01	2.96E-01	2.60E-01	2.28E-01	1.98E-01	1.73E-01
9.26E-01	8.14E-01	6.80E-01	5.83E-01	5.12E-01	4.63E-01	4.24E-01	3.83E-01	3.43E-01	2.99E-01	2.57E-01	2.22E-01	1.93E-01	1.67E-01
9.74E-01	8.39E-01	7.12E-01	6.06E-01	5.34E-01	4.86E-01	4.38E-01	3.91E-01	3.44E-01	2.98E-01	2.54E-01	2.18E-01	1.86E-01	1.60E-01
9.91E-01	8.67E-01	7.31E-01	6.20E-01	5.50E-01	5.06E-01	4.52E-01	3.96E-01	3.42E-01	2.93E-01	2.48E-01	2.11E-01	1.80E-01	1.55E-01
9.96E-01	8.76E-01	7.33E-01	6.35E-01	5.75E-01	5.17E-01	4.59E-01	3.95E-01	3.37E-01	2.85E-01	2.40E-01	2.03E-01	1.72E-01	1.48E-01
9.95E-01	8.67E-01	7.28E-01	6.46E-01	5.90E-01	5.27E-01	4.55E-01	3.87E-01	3.27E-01	2.74E-01	2.29E-01	1.92E-01	1.64E-01	1.41E-01
9.68E-01	8.41E-01	7.19E-01	6.55E-01	6.01E-01	5.26E-01	4.48E-01	3.79E-01	3.16E-01	2.63E-01	2.20E-01	1.84E-01	1.54E-01	1.33E-01
9.38E-01	7.89E-01	7.12E-01	6.72E-01	6.00E-01	5.17E-01	4.35E-01	3.64E-01	3.02E-01	2.48E-01	2.05E-01	1.73E-01	1.44E-01	1.25E-01
8.26E-01	7.45E-01	7.14E-01	6.70E-01	5.87E-01	5.00E-01	4.14E-01	3.43E-01	2.82E-01	2.30E-01	1.92E-01	1.59E-01	1.36E-01	1.16E-01
6.80E-01	7.07E-01	7.14E-01	6.55E-01	5.65E-01	4.72E-01	3.91E-01	3.18E-01	2.60E-01	2.13E-01	1.76E-01	1.48E-01	1.26E-01	1.08E-01
6.51E-01	7.09E-01	7.07E-01	6.22E-01	5.27E-01	4.35E-01	3.56E-01	2.89E-01	2.37E-01	1.94E-01	1.61E-01	1.35E-01	1.16E-01	1.02E-01
6.43E-01	7.07E-01	6.56E-01	5.69E-01	4.77E-01	3.93E-01	3.20E-01	2.63E-01	2.13E-01	1.76E-01	1.46E-01	1.24E-01	1.07E-01	9.27E-02
6.29E-01	6.56E-01	5.88E-01	5.02E-01	4.22E-01	3.47E-01	2.82E-01	2.28E-01	1.88E-01	1.56E-01	1.32E-01	1.13E-01	9.75E-02	8.64E-02
5.70E-01	5.57E-01	4.96E-01	4.25E-01	3.55E-01	2.95E-01	2.41E-01	1.99E-01	1.63E-01	1.38E-01	1.18E-01	1.02E-01	8.94E-02	7.92E-02
4.20E-01	4.18E-01	3.86E-01	3.43E-01	2.89E-01	2.41E-01	2.02E-01	1.69E-01	1.43E-01	1.22E-01	1.04E-01	9.13E-02	8.13E-02	7.23E-02
2.40E-01	2.84E-01	2.80E-01	2.58E-01	2.28E-01	1.95E-01	1.66E-01	1.41E-01	1.22E-01	1.06E-01	9.21E-02	8.20E-02	7.37E-02	6.66E-02
1.08E-01	1.67E-01	1.87E-01	1.84E-01	1.72E-01	1.54E-01	1.35E-01	1.18E-01	1.04E-01	9.14E-02	8.22E-02	7.35E-02	6.70E-02	6.10E-02
4.28E-02	8.89E-02	1.16E-01	1.27E-01	1.25E-01	1.18E-01	1.08E-01	9.73E-02	8.80E-02	7.98E-02	7.25E-02	6.60E-02	6.04E-02	5.55E-02
1.58E-02	4.57E-02	7.12E-02	8.63E-02	9.17E-02	8.95E-02	8.62E-02	8.11E-02	7.48E-02	6.89E-02	6.36E-02	5.84E-02	5.42E-02	5.02E-02
